Time, X, Y, Z
0, 1, 0, 0
0.1, 0.9999999997853871, 0.00000000021461293364095442, 0.000000000000000000002302935564586719
0.2, 0.999999999568179, 0.0000000004318210552194755, 0.00000000000000000000932347118934479
0.30000000000000004, 0.999999999348346, 0.0000000006516539866998102, 0.000000000000000000021232645929005935
0.4, 0.9999999991258584, 0.0000000008741416675011516, 0.00000000000000000003820618276726827
0.5, 0.9999999989006857, 0.0000000010993143576711338, 0.00000000000000000006042460289741781
0.6, 0.9999999986727974, 0.0000000013272026410886935, 0.00000000000000000008807334261088822
0.7, 0.9999999984421625, 0.000000001557837428696517, 0.00000000000000000012134287285045577
0.7999999999999999, 0.9999999982087501, 0.0000000017912499617633415, 0.00000000000000000016042882148595186
0.8999999999999999, 0.9999999979725283, 0.000000002027471815176355, 0.00000000000000000020553209837158113
0.9999999999999999, 0.9999999977334652, 0.000000002266534900763957, 0.00000000000000000025685902324516394
1.0999999999999999, 0.9999999974915286, 0.0000000025084714706491265, 0.00000000000000000031462145653087585
1.2, 0.9999999972466859, 0.0000000027533141206336555, 0.00000000000000000037903693310833786
1.3, 0.9999999969989042, 0.0000000030010957936135298, 0.0000000000000000004503287991122217
1.4000000000000001, 0.9999999967481502, 0.000000003251849783025674, 0.0000000000000000005287263518278515
1.5000000000000002, 0.9999999964943903, 0.0000000035056097363263746, 0.000000000000000000614464982749665
1.6000000000000003, 0.9999999962375904, 0.000000003762409658501622, 0.0000000000000000007077863238707621
1.7000000000000004, 0.9999999959777162, 0.000000004022283915609624, 0.0000000000000000008089383972731894
1.8000000000000005, 0.9999999957147329, 0.000000004285267238355809, 0.0000000000000000009181757680900579
1.9000000000000006, 0.9999999954486052, 0.000000004551394725700533, 0.000000000000000001035759700912049
2.0000000000000004, 0.9999999951792982, 0.000000004820701848499808, 0.0000000000000000011619583197123683
2.1000000000000005, 0.9999999949067756, 0.000000005093224453179307, 0.0000000000000000012970467713657407
2.2000000000000006, 0.9999999946310013, 0.000000005368998765441937, 0.0000000000000000014413073928385941
2.3000000000000007, 0.9999999943519386, 0.00000000564806139400924, 0.0000000000000000015950298821291654
2.400000000000001, 0.9999999940695508, 0.000000005930449334396925, 0.000000000000000001758511473037898
2.500000000000001, 0.9999999937838001, 0.0000000062161999727248154, 0.00000000000000000193205711385014
2.600000000000001, 0.999999993494649, 0.0000000065053510895614724, 0.0000000000000000021159796500148462
2.700000000000001, 0.9999999932020592, 0.0000000067979408638038164, 0.000000000000000002310600010904704
2.800000000000001, 0.9999999929059922, 0.000000007094007876592025, 0.0000000000000000025162474007448692
2.9000000000000012, 0.9999999926064089, 0.000000007393591115259984, 0.0000000000000000027332594937992564
3.0000000000000013, 0.9999999923032701, 0.000000007696729977321614, 0.000000000000000002961982633905192
3.1000000000000014, 0.9999999919965358, 0.000000008003464274493361, 0.0000000000000000032027720384490773
3.2000000000000015, 0.9999999916861658, 0.000000008313834236753133, 0.000000000000000003455992006877585
3.3000000000000016, 0.9999999913721196, 0.000000008627880516436015, 0.000000000000000003722016133840903
3.4000000000000017, 0.9999999910543559, 0.000000008945644192367046, 0.00000000000000000400122752706645
3.5000000000000018, 0.9999999907328333, 0.000000009267166774031358, 0.0000000000000000042940190300635334
3.600000000000002, 0.9999999904075099, 0.000000009592490205782027, 0.000000000000000004600793449761475
3.700000000000002, 0.9999999900783432, 0.00000000992165687108589, 0.0000000000000000049219637891857796
3.800000000000002, 0.9999999897452905, 0.000000010254709596807677, 0.000000000000000005257953485279115
3.900000000000002, 0.9999999894083084, 0.000000010591691657532781, 0.000000000000000005609196651975987
4.000000000000002, 0.9999999890673532, 0.000000010932646779928953, 0.000000000000000005976138328642247
4.100000000000001, 0.9999999887223808, 0.000000011277619147147263, 0.000000000000000006359234733992804
4.200000000000001, 0.9999999883733466, 0.000000011626653403262656, 0.0000000000000000067589535256032414
4.300000000000001, 0.9999999880202053, 0.000000011979794657754412, 0.000000000000000007175774065133375
4.4, 0.9999999876629115, 0.000000012337088490026837, 0.000000000000000007610187689383157
4.5, 0.999999987301419, 0.000000012698580953970538, 0.000000000000000008062697987303827
4.6, 0.9999999869356814, 0.000000013064318582564592, 0.000000000000000008533821083089667
4.699999999999999, 0.9999999865656516, 0.000000013434348392519945, 0.000000000000000009024085925478223
4.799999999999999, 0.9999999861912822, 0.000000013808717888964402, 0.000000000000000009534034583389528
4.899999999999999, 0.999999985812525, 0.000000014187475070169514, 0.000000000000000010064222548037403
4.999999999999998, 0.9999999854293317, 0.000000014570668432319724, 0.000000000000000010615219041648664
5.099999999999998, 0.9999999850416531, 0.00000001495834697432413, 0.000000000000000011187607332928787
5.1999999999999975, 0.9999999846494398, 0.000000015350560202671183, 0.000000000000000011781985059415365
5.299999999999997, 0.9999999842526419, 0.00000001574735813632668, 0.000000000000000012398964556863531
5.399999999999997, 0.9999999838512087, 0.000000016148791311675425, 0.000000000000000013039173195810484
5.4999999999999964, 0.9999999834450892, 0.00000001655491078750689, 0.000000000000000013703253725469118
5.599999999999996, 0.9999999830342319, 0.000000016965768150045226, 0.000000000000000014391864625103862
5.699999999999996, 0.9999999826185845, 0.000000017381415518024038, 0.00000000000000001510568046304483
5.799999999999995, 0.9999999821980945, 0.000000017801905547806206, 0.00000000000000001584539226349963
5.899999999999995, 0.9999999817727087, 0.000000018227291438549186, 0.00000000000000001661170788132519
5.999999999999995, 0.9999999813423731, 0.000000018657626937416125, 0.000000000000000017405352384925462
6.099999999999994, 0.9999999809070337, 0.000000019092966344833178, 0.000000000000000018227068447443937
